DOG,CHICKEN,SNAKE,OWL,CAT,EAGLE,LION,TIGER,BIRDS,CROCODILE,FISH,MONKEY
PANDAS,NUMPY,LIST,ARRAYS,GROUPBY,DATETIME,TIMESERIES,CORRELATION,CAUSATION,MACHINE,LEARNING,
DELL,MICROSOFT,APPLE,GOOGLE,HELWETT,PACKARD,HUAWEI,TENCENT,BAIDU,BYJUS,,
ANGEL,BIRTH,TREE,BELLS,BLIZZARD,BOOTS,CANDLE,CANDY,CELEBRATION,CEREMONY,CHILL,
CHRISTMAS,EVE,CHRISTMASTIDE,COOKIE,CRECHE,FESTIVAL,REUNION,FIREWOOD,FRUITCAKE,FROSTY,FELIZ,
NAVIDAD,GARLAND,GIFT,GINGERBREADE,GOODWILL,GREETINGS,GOLD,GREEN,GOOSE,GUEST,HOLIDAY,
HOLLY,HOPE,HUG,ICICLE,ICY,JESUS,JOY,JOLLY,JOYFUL,IVY,JINGLE,
BELLS,KINGS,KRAMPUS,KRINGLE,LOG,LIST,LIGHTS,LOVE,MANAGER,MERRY,MINCE,
MISTLETOE,NAUGHTY,NICE,NATIVITY,NOEL,NORTHPOLE,NUTCRACKER,OCCASION,ORNAMENTS,PACKAGE,PAGEANT,
PARADE,PATRIDGE,PARTY,PIE,PINETREE,PINECONE,PLUM,PUDDING,POINSETTIA,POPCORN,STRING,
PRESENTS,REINDEER,RED,RECEIVE,REJOICE,REUNION,RIBBON,RUDOLPH,RITUAL,SAINT,NICHOLAS,
SALES,SANTA,CLAUS,SANTAELVES,SCARF,SCROOGE,SEASON,SKATE,SLED,SNOW,SOCKS,
SNOWBALL,SPIRIT,STAR,SUGARPLUM,STOCKING,NICK,SLEIGH,TINSEL,TOBOGGAN,TOGETHERNESS,TOY,
TRADITION,TRIPS,TRIMMING,TURKEY,VACATION,WINTER,WORKSHOP,WREATH,WISH,WRAP,XMAS,
